,Symbol
0,360ONE
1,3MINDIA
2,ABB
3,ACC
4,ACMESOLAR
5,AIAENG
6,APLAPOLLO
7,AUBANK
8,AWL
9,AADHARHFC
10,AARTIIND
11,AAVAS
12,ABBOTINDIA
13,ACE
14,ACUTAAS
15,ADANIENSOL
16,ADANIENT
17,ADANIGREEN
18,ADANIPORTS
19,ADANIPOWER
20,ATGL
21,ABCAPITAL
22,ABFRL
23,ABLBL
24,ABREL
25,ABSLAMC
26,CPPLUS
27,AEGISLOG
28,AEGISVOPAK
29,AFCONS
30,AFFLE
31,AJANTPHARM
32,ALKEM
33,ABDL
34,ARE&M
35,AMBER
36,AMBUJACEM
37,ANANDRATHI
38,ANANTRAJ
39,ANGELONE
40,ANTHEM
41,ANURAS
42,APARINDS
43,APOLLOHOSP
44,APOLLOTYRE
45,APTUS
46,ASAHIINDIA
47,ASHOKLEY
48,ASIANPAINT
49,ASTERDM
50,ASTRAL
51,ATHERENERG
52,ATUL
53,AUROPHARMA
54,AIIL
55,DMART
56,AXISBANK
57,BEML
58,BLS
59,BSE
60,BAJAJ-AUTO
61,BAJFINANCE
62,BAJAJFINSV
63,BAJAJHLDNG
64,BAJAJHFL
65,BALKRISIND
66,BALRAMCHIN
67,BANDHANBNK
68,BANKBARODA
69,BANKINDIA
70,MAHABANK
71,BATAINDIA
72,BAYERCROP
73,BELRISE
74,BERGEPAINT
75,BDL
76,BEL
77,BHARATFORG
78,BHEL
79,BPCL
80,BHARTIARTL
81,BHARTIHEXA
82,BIKAJI
83,GROWW
84,BIOCON
85,BSOFT
86,BLUEDART
87,BLUEJET
88,BLUESTARCO
89,BBTC
90,BOSCHLTD
91,FIRSTCRY
92,BRIGADE
93,BRITANNIA
94,MAPMYINDIA
95,CCL
96,CESC
97,CGPOWER
98,CIEINDIA
99,CRISIL
100,CANFINHOME
101,CANBK
102,CANHLIFE
103,CAPLIPOINT
104,CGCL
105,CARBORUNIV
106,CARTRADE
107,CASTROLIND
108,CEATLTD
109,CEMPRO
110,CENTRALBK
111,CDSL
112,CHALET
113,CHAMBLFERT
114,CHENNPETRO
115,CHOICEIN
116,CHOLAHLDNG
117,CHOLAFIN
118,CIPLA
119,CUB
120,CLEAN
121,COALINDIA
122,COCHINSHIP
123,COFORGE
124,COHANCE
125,COLPAL
126,CAMS
127,CONCORDBIO
128,CONCOR
129,COROMANDEL
130,CRAFTSMAN
131,CREDITACC
132,CROMPTON
133,CUMMINSIND
134,CYIENT
135,DCMSHRIRAM
136,DLF
137,DOMS
138,DABUR
139,DALBHARAT
140,DATAPATTNS
141,DEEPAKFERT
142,DEEPAKNTR
143,DELHIVERY
144,DEVYANI
145,DIVISLAB
146,DIXON
147,LALPATHLAB
148,DRREDDY
149,DUMMYHEG
150,EIDPARRY
151,EIHOTEL
152,EICHERMOT
153,ELECON
154,ELGIEQUIP
155,EMAMILTD
156,EMCURE
157,EMMVEE
158,ENDURANCE
159,ENGINERSIN
160,ERIS
161,ESCORTS
162,ETERNAL
163,EXIDEIND
164,NYKAA
165,FEDERALBNK
166,FACT
167,FINCABLES
168,FSL
169,FIVESTAR
170,FORCEMOT
171,FORTIS
172,GAIL
173,GVT&D
174,GMRAIRPORT
175,GABRIEL
176,GALLANTT
177,GRSE
178,GICRE
179,GILLETTE
180,GLAND
181,GLAXO
182,GLENMARK
183,MEDANTA
184,GODIGIT
185,GPIL
186,GODFRYPHLP
187,GODREJCP
188,GODREJIND
189,GODREJPROP
190,GRANULES
191,GRAPHITE
192,GRASIM
193,GRAVITA
194,GESHIP
195,FLUOROCHEM
196,GMDCLTD
197,HBLENGINE
198,HCLTECH
199,HDBFS
200,HDFCAMC
201,HDFCBANK
202,HDFCLIFE
203,HEGAM
204,HFCL
205,HAVELLS
206,HEROMOTOCO
207,HEXT
208,HSCL
209,HINDALCO
210,HAL
211,HINDCOPPER
212,HINDPETRO
213,HINDUNILVR
214,HINDZINC
215,POWERINDIA
216,HOMEFIRST
217,HONASA
218,HONAUT
219,HUDCO
220,HYUNDAI
221,ICICIBANK
222,ICICIGI
223,ICICIAMC
224,ICICIPRULI
225,IDBI
226,IDFCFIRSTB
227,IFCI
228,IIFL
229,IRB
230,IRCON
231,ITCHOTELS
232,ITC
233,ITI
234,INDGN
235,INDIACEM
236,INDIAMART
237,INDIANB
238,IEX
239,INDHOTEL
240,IOC
241,IOB
242,IRCTC
243,IRFC
244,IREDA
245,IGL
246,INDUSTOWER
247,INDUSINDBK
248,NAUKRI
249,INFY
250,INOXWIND
251,INTELLECT
252,INDIGO
253,IGIL
254,IKS
255,IPCALAB
256,JKCEMENT
257,JBMA
258,JKTYRE
259,JMFINANCIL
260,JSWCEMENT
261,JSWDULUX
262,JSWENERGY
263,JSWINFRA
264,JSWSTEEL
265,JAINREC
266,JPPOWER
267,J&KBANK
268,JINDALSAW
269,JSL
270,JINDALSTEL
271,JIOFIN
272,JUBLFOOD
273,JUBLINGREA
274,JUBLPHARMA
275,JWL
276,JYOTICNC
277,KPRMILL
278,KEI
279,KPITTECH
280,KAJARIACER
281,KPIL
282,KALYANKJIL
283,KARURVYSYA
284,KAYNES
285,KEC
286,KFINTECH
287,KIRLOSENG
288,KOTAKBANK
289,KIMS
290,LTF
291,LTTS
292,LGEINDIA
293,LICHSGFIN
294,LTFOODS
295,LTM
296,LT
297,LATENTVIEW
298,LAURUSLABS
299,THELEELA
300,LEMONTREE
301,LENSKART
302,LICI
303,LINDEINDIA
304,LLOYDSME
305,LODHA
306,LUPIN
307,MMTC
308,MRF
309,MGL
310,M&MFIN
311,M&M
312,MANAPPURAM
313,MRPL
314,MANKIND
315,MARICO
316,MARUTI
317,MFSL
318,MAXHEALTH
319,MAZDOCK
320,MEESHO
321,MINDACORP
322,MSUMI
323,MOTILALOFS
324,MPHASIS
325,MCX
326,MUTHOOTFIN
327,NATCOPHARM
328,NBCC
329,NCC
330,NHPC
331,NLCINDIA
332,NMDC
333,NSLNISP
334,NTPCGREEN
335,NTPC
336,NH
337,NATIONALUM
338,NAVA
339,NAVINFLUOR
340,NESTLEIND
341,NETWEB
342,NEULANDLAB
343,NEWGEN
344,NAM-INDIA
345,NIVABUPA
346,NUVAMA
347,NUVOCO
348,OBEROIRLTY
349,ONGC
350,OIL
351,OLAELEC
352,OLECTRA
353,PAYTM
354,ONESOURCE
355,OFSS
356,POLICYBZR
357,PCBL
358,PGEL
359,PIIND
360,PNBHOUSING
361,PTCIL
362,PVRINOX
363,PAGEIND
364,PARADEEP
